attribute_Decimal,attribute_bool,attribute_Int,attribute_string,attribute_datetime,attribute_timeuuid
-120291.54,FALSE,886692,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04008
-458138.81,FALSE,3348155,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04823
-8366.68,FALSE,71238,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03738
-352432,FALSE,2578004,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04568
-326730.73,FALSE,2390752,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04506
-328803.42,FALSE,2405853,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04511
-44707.71,TRUE,336009,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7985
-286382.51,TRUE,2096786,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8568
-140603.83,TRUE,1034682,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04057
-360308.19,FALSE,2635388,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04587
-325487.12,FALSE,2381691,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04503
-376889.65,TRUE,2756196,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04627
-447222.69,TRUE,3268623,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8956
-348977.53,TRUE,2552836,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8719
-306418.44,FALSE,2242762,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04457
-405492.67,TRUE,2964590,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04696
-240921.67,FALSE,1765570,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04299
-198915.3,TRUE,1459523,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8357
-193249.97,FALSE,1418247,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04184
-424561.36,FALSE,3103519,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04742
-89892.2,TRUE,665211,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8094
-430641.22,TRUE,3147815,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8916
-251285.09,TRUE,1841075,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04324
-414474.3,TRUE,3030027,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8877
-220056.67,TRUE,1613554,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8408
-295225.96,FALSE,2161217,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04430
-421935.96,TRUE,3084391,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8895
-149170.92,TRUE,1097099,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8237
-231249.15,TRUE,1695099,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8435
-69994.44,TRUE,520241,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8046
-200297.09,TRUE,1469591,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04201
-289284.27,TRUE,2117927,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8575
-434924.77,FALSE,3179024,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04767
-192697.26,TRUE,1414220,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8342
-11682.97,FALSE,95400,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03746
-222129.35,TRUE,1628655,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8413
-76350.67,FALSE,566551,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03902
-266899.29,TRUE,1954836,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8521
-167410.53,TRUE,1229988,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8281
-174457.65,TRUE,1281332,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8298
-366388.06,TRUE,2679684,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8761
-163679.7,TRUE,1202806,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8272
-76627.03,TRUE,568564,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8062
-80357.86,TRUE,595746,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8071
-340410.44,FALSE,2490418,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04539
-459244.24,TRUE,3356209,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8985
-164923.31,TRUE,1211867,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8275
-145025.56,TRUE,1066897,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8227
-290942.41,TRUE,2130008,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8579
-2424.99,TRUE,27949,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7883
-380896.84,TRUE,2785391,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8796
-407150.82,FALSE,2976671,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04700
-299785.86,TRUE,2194439,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04441
-265379.33,FALSE,1943762,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04358
-408808.97,FALSE,2988751,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04704
-301029.47,TRUE,2203499,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04444
-213838.62,TRUE,1568251,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8393
-441833.71,TRUE,3229361,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8943
-34897.02,TRUE,264531,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03802
-460211.5,TRUE,3363256,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04828
-16104.69,TRUE,127615,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7916
-445564.54,TRUE,3256542,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8952
-451091.69,FALSE,3296812,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04806
-25362.68,FALSE,195066,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03779
-18177.38,TRUE,142716,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7921
-68336.3,TRUE,508160,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8042
-78285.17,TRUE,580645,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8066
-242027.1,TRUE,1773624,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8461
-394300.19,TRUE,2883044,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04669
-327974.34,FALSE,2399812,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04509
-88648.59,TRUE,656150,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8091
-389187.57,TRUE,2845795,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8816
-33653.41,TRUE,255470,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03799
-436444.74,TRUE,3190098,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8930
-29369.86,TRUE,224262,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7948
-218536.7,FALSE,1602480,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04245
-460902.39,TRUE,3368290,ASD,2017-06-01T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8989
-88234.05,TRUE,653130,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8090
-313465.57,TRUE,2294105,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04474
-269524.69,FALSE,1973964,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04368
-117804.32,FALSE,868571,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04002
-431884.83,TRUE,3156876,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8919
-404110.89,TRUE,2954522,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8852
-75936.13,TRUE,563531,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03901
-196151.73,FALSE,1439389,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04191
-398307.37,TRUE,2912240,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8838
-416685.16,TRUE,3046135,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04723
-83259.61,TRUE,616888,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8078
-396234.69,TRUE,2897139,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8833
-74968.88,TRUE,556484,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8058
-456066.13,FALSE,3333054,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04818
-255844.99,FALSE,1874298,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04335
-209278.72,TRUE,1535028,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8382
-447775.4,TRUE,3272650,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04798
-407012.64,TRUE,2975664,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8859
-41391.42,TRUE,311847,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7977
-176668.51,TRUE,1297439,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04144
-212595.01,TRUE,1559190,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8390
-364315.38,TRUE,2664583,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8756
-58801.96,TRUE,438696,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8019
-106473.66,TRUE,786019,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8134
-348148.45,TRUE,2546795,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8717
-211351.4,TRUE,1550129,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8387
-103295.54,TRUE,762864,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03967
-356991.9,TRUE,2611226,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04579
-105230.05,TRUE,776958,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8131
-35311.55,FALSE,267551,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03803
-375922.4,TRUE,2749149,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8784
-45536.79,TRUE,342049,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7987
-7399.43,TRUE,64191,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7895
-419172.38,TRUE,3064256,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04729
-417099.7,FALSE,3049155,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04724
-346904.85,TRUE,2537735,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8714
-408256.25,TRUE,2984724,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8862
-3806.78,TRUE,38016,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03727
-312912.85,TRUE,2290078,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8632
-400794.59,TRUE,2930361,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8844
-123884.19,TRUE,912867,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8176
-447637.22,TRUE,3271643,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8957
-127615.02,TRUE,940049,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8185
-333225.14,TRUE,2438068,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8681
-280993.54,TRUE,2057523,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8555
-272011.91,FALSE,1992085,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04374
-296055.03,TRUE,2167257,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04432
-416270.62,FALSE,3043115,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04722
-95004.81,FALSE,702460,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b03947
-118909.75,TRUE,876625,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8164
-439070.13,TRUE,3209226,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04777
-123193.3,TRUE,907834,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04015
-13617.48,TRUE,109494,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c7910
-368046.21,TRUE,2691765,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8765
-311392.88,FALSE,2279004,asd,2017-06-02T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04469
-218951.24,TRUE,1605500,ASD,2017-06-01T07:00:00.000Z,498de700-42c0-11e7-924f-714626b04246
-344003.09,TRUE,2516593,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8707
-367217.14,TRUE,2685725,ASD,2017-05-27T07:00:00.000Z,5b784620-42cc-11e7-b315-350af36c8763
